1409.TW,新纖,16.45,0.00,0.00%,43614
1312.TW,國喬,1090,42524,17.90,1.05
1312.TW.TW,國喬,+6.23%,41492,995,40497
1314.TW,中石化,26.75,-0.05,-0.19%,20469
1402.TW,遠東新,912,19557,46.90,1.30
1402.TW.TW,遠東新,+2.85%,19260,353,18906
1905.TW,華紙,17.65,-0.05,-0.28%,24766
1444.TW,力麗,7440,17326,18.65,0.15
1444.TW.TW,力麗,+0.81%,18741,3328,15413
1909.TW,榮成,13.40,0.65,+5.10%,15034
3231.TW,緯創,63,14971,60.10,-0.90
3231.TW.TW,緯創,-1.48%,14660,10,14649
1313.TW,聯成,24.20,0.00,0.00%,14540
3481.TW,奇美電,487,14053,41.80,0.05
3481.TW.TW,奇美電,+0.12%,13723,1698,12025
2474.TW,可成,82.10,-0.40,-0.48%,11224
2325.TW,矽品,121,11103,33.50,1.15
2325.TW.TW,矽品,+3.55%,11059,306,10753
1704.TW,榮化,64.80,1.70,+2.69%,11610
1710.TW,東聯,1763,9847,34.05,0.00
1710.TW.TW,東聯,0.00%,16841,7838,9003
2311.TW,日月光,26.00,0.10,+0.39%,10077
2854.TW,寶來證,1443,8633,16.35,0.00
2854.TW.TW,寶來證,0.00%,7446,50,7396
2409.TW,友達,30.75,0.75,+2.50%,10796
1455.TW,集盛,3577,7219,17.15,0.35
1455.TW.TW,集盛,+2.08%,6943,1,6942
1308.TW,亞聚,35.30,1.35,+3.98%,6959
2448.TW,晶電,130,6829,98.60,-1.20
2448.TW.TW,晶電,-1.20%,7698,994,6704
1504.TW,東元,19.80,0.10,+0.51%,6166
2353.TW,宏碁,109,6057,87.70,0.60
2353.TW.TW,宏碁,+0.69%,6643,677,5966
1457.TW,宜進,12.75,-0.10,-0.78%,6357
6116.TW,彩晶,800,5557,6.15,-0.01
6116.TW.TW,彩晶,-0.16%,5481,104,5377
2473.TW,思源,42.60,1.35,+3.27%,5365
3443.TW,創意,563,4802,127.00,0.00
3443.TW.TW,創意,0.00%,4678,223,4455
1227.TW,佳格,81.50,0.90,+1.12%,4615
4306.TW,炎洲,184,4431,33.85,-0.45
4306.TW.TW,炎洲,-1.31%,4410,0,4410
1902.TW,臺紙,20.05,1.05,+5.53%,4136
2382.TW,廣達,0,4136,55.20,-0.50
2382.TW.TW,廣達,-0.90%,3955,113,3842
3380.TW,明泰,27.55,-0.15,-0.54%,4262
1326.TW,臺化,502,3760,88.80,2.50
1326.TW.TW,臺化,+2.90%,4566,1102,3464
5388.TW,中磊,28.70,-0.75,-2.55%,5165
1718.TW,中纖,1746,3419,14.95,0.05
1718.TW.TW,中纖,+0.34%,3419,5,3414
1711.TW,永光,37.60,0.35,+0.94%,3481
1459.TW,聯發,81,3400,16.45,0.00
1459.TW.TW,聯發,0.00%,4022,801,3221
2504.TW,國產,16.35,0.25,+1.55%,3089
1447.TW,力鵬,88,3001,16.75,0.25
1447.TW.TW,力鵬,+1.52%,2980,1,2979
1301.TW,臺塑,90.00,3.10,+3.57%,3033
3189.TW,景碩,87,2946,83.70,-0.60
3189.TW.TW,景碩,-0.71%,4050,1450,2600
2847.TW,大眾銀,7.23,-0.04,-0.55%,2900
1701.TW,中化,369,2531,30.75,-0.40
1701.TW.TW,中化,-1.28%,2700,258,2442
2049.TW,上銀,86.50,5.60,+6.92%,3057
2324.TW,仁寶,653,2403,38.45,0.10
2324.TW.TW,仁寶,+0.26%,2737,400,2336
1560.TW,中砂,51.40,0.10,+0.19%,2879
3036.TW,文曄,550,2329,48.45,3.15
3036.TW.TW,文曄,+6.95%,2382,57,2325
3474.TW,華亞科,14.90,0.05,+0.34%,2183
1229.TW,聯華,28,2155,23.85,0.75
1229.TW.TW,聯華,+3.25%,5914,3813,2101
1310.TW,台苯,15.25,0.45,+3.04%,2202
3383.TW,新世紀,111,2091,53.60,0.60
3383.TW.TW,新世紀,+1.13%,2072,51,2021
