2409.TW,友達,30.75,0.75,+2.50%,5330
1409.TW,新纖,920,4410,16.45,0.00
1409.TW.TW,新纖,0.00%,3753,990,2763
2449.TW,京元電,14.00,0.35,+2.56%,2748
2303.TW,聯電,246,2502,13.85,0.00
2303.TW.TW,聯電,0.00%,2281,156,2125
2311.TW,日月光,26.00,0.10,+0.39%,2424
2325.TW,矽品,442,1982,33.50,1.15
2325.TW.TW,矽品,+3.55%,1375,299,1076
2801.TW,彰銀,20.70,-0.10,-0.48%,1405
3037.TW,欣興,406,999,48.55,0.35
3037.TW.TW,欣興,+0.73%,1213,248,965
1312.TW,國喬,17.90,1.05,+6.23%,2767
1402.TW,遠東新,1923,844,46.90,1.30
1402.TW.TW,遠東新,+2.85%,1151,364,787
1905.TW,華紙,17.65,-0.05,-0.28%,798
2313.TW,華通,20,778,10.25,-0.10
2313.TW.TW,華通,-0.97%,1650,891,759
3702.TW,大聯大,58.70,0.70,+1.21%,848
2392.TW,正崴,130,718,63.80,-0.60
2392.TW.TW,正崴,-0.93%,698,47,651
1210.TW,大成,32.85,1.85,+5.97%,759
2316.TW,楠梓電,166,593,18.45,0.15
2316.TW.TW,楠梓電,+0.82%,926,376,550
8008.TW,建興,32.00,0.30,+0.95%,553
9907.TW,統一實,4,548,16.25,-0.05
9907.TW.TW,統一實,-0.31%,628,93,535
2834.TW,台企銀,10.40,0.05,+0.48%,2140
1314.TW,中石化,1606,534,26.75,-0.05
1314.TW.TW,中石化,-0.19%,792,266,526
2520.TW,冠德,27.30,0.65,+2.44%,525
5854.TW,合庫,58,467,22.40,0.10
5854.TW.TW,合庫,+0.45%,891,426,465
2337.TW,旺宏,19.25,-0.05,-0.26%,817
1455.TW,集盛,364,453,17.15,0.35
1455.TW.TW,集盛,+2.08%,450,0,450
1711.TW,永光,37.60,0.35,+0.94%,486
2883.TW,開發金,62,424,9.13,0.07
2883.TW.TW,開發金,+0.77%,524,151,373
1201.TW,味全,35.50,-0.20,-0.56%,421
2330.TW,台積電,69,352,62.30,0.30
2330.TW.TW,台積電,+0.48%,783,437,346
9911.TW,櫻花,24.85,1.10,+4.63%,330
2504.TW,國產,0,330,16.35,0.25
2504.TW.TW,國產,+1.55%,610,282,328
3514.TW,昱晶,88.60,3.10,+3.63%,568
1447.TW,力鵬,241,327,16.75,0.25
1447.TW.TW,力鵬,+1.52%,968,641,327
1708.TW,東鹼,39.20,0.90,+2.35%,323
2913.TW,農林,0,323,19.95,0.60
2913.TW.TW,農林,+3.10%,323,6,317
3036.TW,文曄,48.45,3.15,+6.95%,376
1718.TW,中纖,70,306,14.95,0.05
1718.TW.TW,中纖,+0.34%,396,121,275
2473.TW,思源,42.60,1.35,+3.27%,269
2406.TW,國碩,7,262,50.30,1.30
2406.TW.TW,國碩,+2.65%,483,224,259
1466.TW,聚隆,31.70,2.05,+6.91%,280
1218.TW,泰山,28,252,19.00,0.65
1218.TW.TW,泰山,+3.54%,250,0,250
3060.TW,銘異,55.50,0.10,+0.18%,258
2049.TW,上銀,14,244,86.50,5.60
2049.TW.TW,上銀,+6.92%,422,179,243
3231.TW,緯創,60.10,-0.90,-1.48%,503
1451.TW,年興,263,240,23.40,0.05
1451.TW.TW,年興,+0.21%,271,39,232
2820.TW,華票,9.06,-0.05,-0.55%,233
2880.TW,華南金,7,226,20.15,0.00
2880.TW.TW,華南金,0.00%,252,40,212
9105.TW,泰金寶,5.10,0.00,0.00%,220
4938.TW,和碩,8,212,41.55,0.90
4938.TW.TW,和碩,+2.21%,379,168,211
2201.TW,裕隆,61.60,1.10,+1.82%,456
2545.TW,皇翔,251,205,64.90,-0.10
2545.TW.TW,皇翔,-0.15%,224,26,198
