1409.TW,新纖,16.45,0.00,0.00%,55100
1312.TW,國喬,3764,51336,17.90,1.05
1312.TW.TW,國喬,+6.23%,53305,8483,44822
3481.TW,奇美電,41.80,0.05,+0.12%,48279
1444.TW,力麗,9244,39034,18.65,0.15
1444.TW.TW,力麗,+0.81%,45161,6153,39008
1402.TW,遠東新,46.90,1.30,+2.85%,38595
1314.TW,中石化,1847,36747,26.75,-0.05
1314.TW.TW,中石化,-0.19%,32889,3162,29727
2448.TW,晶電,98.60,-1.20,-1.20%,33059
2311.TW,日月光,4916,28143,26.00,0.10
2311.TW.TW,日月光,+0.39%,32488,5825,26662
2409.TW,友達,30.75,0.75,+2.50%,34705
2892.TW,第一金,8360,26345,20.55,0.10
2892.TW.TW,第一金,+0.49%,36403,12708,23694
2618.TW,長榮航,31.80,0.25,+0.79%,37825
1710.TW,東聯,15954,21871,34.05,0.00
1710.TW.TW,東聯,0.00%,28939,8279,20660
1605.TW,華新,18.90,-0.25,-1.31%,25337
2885.TW,元大金,4800,20537,19.15,0.05
2885.TW.TW,元大金,+0.26%,20252,2041,18211
2801.TW,彰銀,20.70,-0.10,-0.48%,48425
1905.TW,華紙,30264,18161,17.65,-0.05
1905.TW.TW,華紙,-0.28%,35951,18860,17091
3231.TW,緯創,60.10,-0.90,-1.48%,18684
5388.TW,中磊,2543,16140,28.70,-0.75
5388.TW.TW,中磊,-2.55%,18903,3718,15185
1909.TW,榮成,13.40,0.65,+5.10%,15082
1104.TW,環泥,84,14998,20.30,0.25
1104.TW.TW,環泥,+1.25%,17037,2905,14132
3545.TW,旭曜,65.50,-1.90,-2.82%,17589
2834.TW,台企銀,4213,13376,10.40,0.05
2834.TW.TW,台企銀,+0.48%,13772,767,13004
3519.TW,綠能,90.30,-0.70,-0.77%,21489
2473.TW,思源,8891,12598,42.60,1.35
2473.TW.TW,思源,+3.27%,16860,4287,12573
3189.TW,景碩,83.70,-0.60,-0.71%,17391
2325.TW,矽品,4831,12560,33.50,1.15
2325.TW.TW,矽品,+3.55%,12324,1082,11241
911611.TW,中泰山,13.20,-0.05,-0.38%,12893
1308.TW,亞聚,2050,10843,35.30,1.35
1308.TW.TW,亞聚,+3.98%,12502,1683,10819
1722.TW,台肥,109.00,0.00,0.00%,16082
1704.TW,榮化,6437,9645,64.80,1.70
1704.TW.TW,榮化,+2.69%,15761,6204,9556
1217.TW,愛之味,14.10,0.25,+1.81%,19118
4306.TW,炎洲,9660,9458,33.85,-0.45
4306.TW.TW,炎洲,-1.31%,9297,0,9297
3034.TW,聯詠,90.60,-0.60,-0.66%,15004
1419.TW,新紡,5757,9246,39.90,-0.95
1419.TW.TW,新紡,-2.33%,10273,1577,8696
2854.TW,寶來證,16.35,0.00,0.00%,8812
2204.TW,中華,121,8691,25.55,-0.10
2204.TW.TW,中華,-0.39%,21186,12790,8396
1455.TW,集盛,17.15,0.35,+2.08%,8943
3383.TW,新世紀,800,8143,53.60,0.60
3383.TW.TW,新世紀,+1.13%,8485,760,7725
5854.TW,合庫,22.40,0.10,+0.45%,22066
1476.TW,儒鴻,14519,7546,41.45,-0.35
1476.TW.TW,儒鴻,-0.84%,10541,3016,7525
1560.TW,中砂,51.40,0.10,+0.19%,8534
1504.TW,東元,1151,7383,19.80,0.10
1504.TW.TW,東元,+0.51%,14787,7471,7316
3062.TW,建漢,40.80,-0.60,-1.45%,8599
1459.TW,聯發,1311,7288,16.45,0.00
1459.TW.TW,聯發,0.00%,7821,809,7012
1313.TW,聯成,24.20,0.00,0.00%,18250
1447.TW,力鵬,11526,6723,16.75,0.25
1447.TW.TW,力鵬,+1.52%,8780,2227,6553
2474.TW,可成,82.10,-0.40,-0.48%,12097
1457.TW,宜進,5911,6186,12.75,-0.10
1457.TW.TW,宜進,-0.78%,6960,800,6160
1528.TW,恩德,17.25,0.55,+3.29%,6260
2481.TW,強茂,311,5948,37.40,0.25
2481.TW.TW,強茂,+0.67%,18985,13108,5876
