2002.TW,中鋼,30.75,0.75,+2.50%,0.15
1402.TW,遠東新,+0.48%,-46169,46.90,-29399
1605.TW,華新,39.65,-0.25,-0.63%,-0.25
2371.TW,大同,-1.31%,-21088,7.34,-20625
3702.TW,大聯大,23.65,0.45,+1.94%,0.70
2882.TW,國泰金,+1.21%,-15773,47.40,-14078
1409.TW,新纖,4.30,0.05,+1.18%,0.00
3474.TW,華亞科,0.00%,-12824,14.90,-11098
2603.TW,長榮,21.20,0.35,+1.68%,-0.05
2823.TW,中壽,-0.20%,-9489,24.85,-8389
2511.TW,太子,14.20,0.35,+2.53%,-0.35
2887.TW,台新金,-1.51%,-7321,13.70,-6291
1101.TW,台泥,69.90,-1.20,-1.69%,0.25
2376.TW,技嘉,+0.75%,-5186,29.50,-5055
2883.TW,開發金,38.00,0.05,+0.13%,0.07
3037.TW,欣興,+0.77%,-4553,48.55,-4249
2323.TW,中環,19.15,0.05,+0.26%,0.11
2473.TW,思源,+1.39%,-3722,42.60,-3185
2377.TW,微星,14.00,0.35,+2.56%,0.05
3044.TW,健鼎,+0.31%,-3173,108.00,-3159
2903.TW,遠百,120.50,-2.50,-2.03%,0.00
6120.TW,輔祥,0.00%,-2766,30.75,-2694
2344.TW,華邦電,61.20,-0.80,-1.29%,-0.01
2404.TW,漢唐,-0.13%,-2621,40.40,-2605
5854.TW,合庫,88.60,3.10,+3.63%,0.10
2542.TW,興富發,+0.45%,-2376,53.00,-2331
2834.TW,台企銀,7.75,-0.02,-0.26%,0.05
1319.TW,東陽,+0.48%,-2036,50.00,-1955
2308.TW,台達電,23.40,0.05,+0.21%,-2.50
2847.TW,大眾銀,-1.92%,-1837,7.23,-1771
2456.TW,奇力新,10.25,-0.10,-0.97%,0.20
