2603.TW,長榮,24.75,-0.05,-0.20%,19835
1902.TW,臺紙,13536,6299,20.05,1.05
1902.TW.TW,臺紙,+5.53%,11968,7607,4361
1301.TW,臺塑,90.00,3.10,+3.57%,16332
3481.TW,奇美電,13546,2786,41.80,0.05
3481.TW.TW,奇美電,+0.12%,9464,6775,2689
2618.TW,長榮航,31.80,0.25,+0.79%,16785
2353.TW,宏碁,14210,2575,87.70,0.60
2353.TW.TW,宏碁,+0.69%,9677,7114,2563
911610.TW,聯環,19.05,1.20,+6.72%,6918
2330.TW,台積電,4678,2240,62.30,0.30
2330.TW.TW,台積電,+0.48%,15580,13457,2123
1326.TW,臺化,88.80,2.50,+2.90%,14906
2324.TW,仁寶,13052,1854,38.45,0.10
2324.TW.TW,仁寶,+0.26%,11311,9473,1838
2317.TW,鴻海,118.00,-0.50,-0.42%,7406
2409.TW,友達,5797,1609,30.75,0.75
2409.TW.TW,友達,+2.50%,25157,23656,1501
911611.TW,中泰山,13.20,-0.05,-0.38%,2307
2887.TW,台新金,827,1480,13.70,0.15
2887.TW.TW,台新金,+1.11%,6651,5223,1428
1313.TW,聯成,24.20,0.00,0.00%,6799
2384.TW,勝華,5445,1354,52.30,0.20
2384.TW.TW,勝華,+0.38%,13908,12680,1228
2889.TW,國票金,9.80,-0.05,-0.51%,7219
2448.TW,晶電,6017,1202,98.60,-1.20
2448.TW.TW,晶電,-1.20%,6185,4988,1197
1704.TW,榮化,64.80,1.70,+2.69%,6220
2610.TW,華航,5038,1182,24.85,-0.35
2610.TW.TW,華航,-1.39%,12089,10947,1142
4938.TW,和碩,41.55,0.90,+2.21%,5806
1304.TW,臺聚,4764,1042,27.55,0.30
1304.TW.TW,臺聚,+1.10%,4410,3377,1033
2609.TW,陽明,21.70,-0.30,-1.36%,15702
1312.TW,國喬,14681,1021,17.90,1.05
1312.TW.TW,國喬,+6.23%,11383,10409,974
9904.TW,寶成,29.05,0.25,+0.87%,9289
2885.TW,元大金,8394,895,19.15,0.05
2885.TW.TW,元大金,+0.26%,12795,11920,875
3010.TW,華立,57.80,2.20,+3.96%,3247
2886.TW,兆豐金,2388,859,21.20,0.35
2886.TW.TW,兆豐金,+1.68%,5744,4921,823
3045.TW,台灣大,67.30,0.50,+0.75%,2994
1303.TW,南亞,2233,761,70.00,0.90
1303.TW.TW,南亞,+1.30%,5611,4856,755
6120.TW,輔祥,30.75,-0.40,-1.28%,1187
1536.TW,和大,460,727,16.40,0.35
1536.TW.TW,和大,+2.18%,1851,1128,723
2838.TW,聯邦銀,8.90,0.00,0.00%,848
3519.TW,綠能,203,645,90.30,-0.70
3519.TW.TW,綠能,-0.77%,1867,1226,641
2474.TW,可成,82.10,-0.40,-0.48%,5382
2356.TW,英業達,4826,556,16.20,0.10
2356.TW.TW,英業達,+0.62%,2935,2403,532
6116.TW,彩晶,6.15,-0.01,-0.16%,3327
2504.TW,國產,2816,511,16.35,0.25
2504.TW.TW,國產,+1.55%,7348,6842,506
1907.TW,永豐餘,15.75,0.25,+1.61%,2569
1504.TW,東元,2106,463,19.80,0.10
1504.TW.TW,東元,+0.51%,7969,7513,456
3576.TW,新日光,75.10,0.30,+0.40%,2372
2323.TW,中環,1924,448,8.04,0.11
2323.TW.TW,中環,+1.39%,2719,2278,441
2360.TW,致茂,82.40,3.40,+4.30%,2799
1229.TW,聯華,2362,437,23.85,0.75
1229.TW.TW,聯華,+3.25%,5631,5224,407
2881.TW,富邦金,38.00,0.05,+0.13%,6397
2382.TW,廣達,5999,398,55.20,-0.50
2382.TW.TW,廣達,-0.90%,6430,6035,395
1714.TW,和桐,16.20,-0.05,-0.31%,1373
2883.TW,開發金,992,381,9.13,0.07
2883.TW.TW,開發金,+0.77%,6009,5629,380
2383.TW,台光電,28.70,1.25,+4.55%,2651
1319.TW,東陽,2293,358,50.00,1.70
1319.TW.TW,東陽,+3.52%,5004,4652,352
